Component Name,Amount (Qty),Cost ($),Link / Source
3D Printing,1,5.0,No link
Arduino Nano,1,2.05,https://robu.in/product/arduino-nano-board-r3-with-ch340-chip-wo-usb-cable-solderedarduino-nano-r3-wo-usb-cable-soldered/?gad_source=1&gad_campaignid=17413441824&gbraid=0AAAAADvLFWeb_NdrEDg-XL0ATaNMgikbE&gclid=Cj0KCQjw54nRBhDCARIsAMcY_SDfonfFLSzPSXoZ26RX6de0OhFAgTy4gv4BO-hz2gnUPZ2ETNHIYDYaAvVqEALw_wcB
TTP223,1,0.094,https://www.google.com/aclk?sa=L&ai=DChsSEwjIou7io_CUAxUawzwCHfZhGNoYACICCAEQFBoCc2Y&co=1&ase=2&gclid=Cj0KCQjw54nRBhDCARIsAMcY_SAEd9cdkBTm-roivKpZa7OSbkJ1-2arlaD5Rq1VfqcplInN01Tmy_0aAtVYEALw_wcB&cid=CAASugHkaJnfMFkxsNmnVQpAKSNc--9Fq4m8UURfOyNdNKajc-CMa63q03uDVkpvdJPAVAIHoGFlXhhB9f1pHjh1t17hhFO5JTaLNVDnwS6A8KSB-EAxkMBNR4H5rl6LuLS8ptaznkWmZNLYLpqzL6GHYobqRoFC3y008toF2_biV2oYHqCtqvqoDCFxg1dZTJrUfHZc8wydZE_zNEwxnXVhfYHNL4nIeyxsSQcg3ZbHqbGktoqn-5QfNqOI6gM&cce=2&category=acrcp_v1_32&sig=AOD64_2AB5jQpVvn7ce8yE8JV3wCjsZWXg&ctype=5&q=&nis=4&ved=2ahUKEwigvubio_CUAxVJcmwGHU_sMygQ5bgDKAB6BAgLEBE&adurl=
PCB,1,9.44,No link (Robu.in)
SK812 Light,4,0.0,Already have
M2.5*1.5 Screws,2,0.0,Already have
M2x6 Screws,2,0.0,Already have
0.96 inch OLED Screen,1,1.78,https://robu.in/product/4pin-oled-display-module-blue-color/?gad_source=1&gad_campaignid=17416544847&gbraid=0AAAAADvLFWeV7IIdkAowLtnJ62HswHimP&gclid=Cj0KCQjw54nRBhDCARIsAMcY_SCSwaqNWvmmJTxL-iH-rDM2Z1R6D6TIyR4szlL96ZwazzYMiPebX0oaApdJEALw_wcB
Pin Headers,1,0.0,Already have
Overall Total,,18.36,
